title,genres,rating,rating counts
We're No Angels (1989),Drama,2.59,83
Free Willy (1993),Drama,2.59,285
Finding North (1999),Drama,2.6,5
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Drama,2.6,10
Daughters of the Dust (1992),Drama,2.6,15
S.F.W. (1994),Drama,2.6,30
Blue Chips (1994),Drama,2.6,75
"Juror, The (1996)",Drama,2.61,114
Romance (1999),Drama,2.62,32
Boiling Point (1993),Drama,2.62,61
"Babysitter, The (1995)",Drama,2.62,64
One Tough Cop (1998),Drama,2.63,38
Airport 1975 (1974),Drama,2.63,84
Jack (1996),Drama,2.63,171
Three Wishes (1995),Drama,2.64,33
Two Moon Juction (1988),Drama,2.65,60
Duets (2000),Drama,2.65,106
Color of Night (1994),Drama,2.65,141
Rocky IV (1985),Drama,2.65,375
Brown's Requiem (1998),Drama,2.67,3
Male and Female (1919),Drama,2.67,3
Race the Sun (1996),Drama,2.67,3
"Separation, The (La Séparation) (1994)",Drama,2.67,3
Loaded (1994),Drama,2.67,9
Jail Bait (1954),Drama,2.67,12
"Player's Club, The (1998)",Drama,2.67,33
"Pompatus of Love, The (1996)",Drama,2.67,33
Death Wish II (1982),Drama,2.67,85
Rough Magic (1995),Drama,2.68,19
"Walking Dead, The (1995)",Drama,2.68,19
Lulu on the Bridge (1998),Drama,2.68,22
Light of Day (1987),Drama,2.68,31
Diabolique (1996),Drama,2.68,71
"Karate Kid, Part II, The (1986)",Drama,2.68,477
"Loss of Sexual Innocence, The (1999)",Drama,2.69,26
"Inkwell, The (1994)",Drama,2.69,35
'Til There Was You (1997),Drama,2.69,52
I'll Do Anything (1994),Drama,2.7,44
"Beach, The (2000)",Drama,2.7,423
"Acid House, The (1998)",Drama,2.71,7
"Late August, Early September (Fin août, début septembre) (1998)",Drama,2.71,7
Public Access (1993),Drama,2.71,7
"Trigger Effect, The (1996)",Drama,2.71,59
Desperate Measures (1998),Drama,2.71,111
Mr. Saturday Night (1992),Drama,2.71,177
"Thousand Acres, A (1997)",Drama,2.72,50
Hoodlum (1997),Drama,2.72,75
Miss Julie (1999),Drama,2.73,11
Catfish in Black Bean Sauce (2000),Drama,2.73,15
Friends & Lovers (1999),Drama,2.73,64
Waiting to Exhale (1995),Drama,2.73,170
Guilty as Sin (1993),Drama,2.74,47
Mr. Jones (1993),Drama,2.74,47
Indecent Proposal (1993),Drama,2.74,217
Beefcake (1999),Drama,2.75,4
Dangerous Ground (1997),Drama,2.75,4
"Man from Down Under, The (1943)",Drama,2.75,4
Rosie (1998),Drama,2.75,4
"Confessional, The (Le Confessionnal) (1995)",Drama,2.75,8
"Woman of Paris, A (1923)",Drama,2.75,8
187 (1997),Drama,2.75,55
Communion (1989),Drama,2.76,120
Crash (1996),Drama,2.76,141
Coyote Ugly (2000),Drama,2.76,201
54 (1998),Drama,2.76,259
"Portrait of a Lady, The (1996)",Drama,2.77,43
Gothic (1986),Drama,2.77,62
Gossip (2000),Drama,2.77,82
Breathless (1983),Drama,2.77,129
"Postman, The (1997)",Drama,2.77,137
Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train) (1998),Drama,2.78,9
"School of Flesh, The (L' École de la chair) (1998)",Drama,2.78,18
That's Life! (1986),Drama,2.78,18
"Awfully Big Adventure, An (1995)",Drama,2.78,23
Raise the Titanic (1980),Drama,2.78,32
Mad City (1997),Drama,2.78,113
Marked for Death (1990),Drama,2.78,127
Human Traffic (1999),Drama,2.79,14
Crime and Punishment in Suburbia (2000),Drama,2.79,33
Knightriders (1981),Drama,2.79,34
Dying Young (1991),Drama,2.79,128
How Stella Got Her Groove Back (1998),Drama,2.79,140
Violets Are Blue... (1986),Drama,2.8,15
Queens Logic (1991),Drama,2.8,30
At First Sight (1999),Drama,2.8,74
Jakob the Liar (1999),Drama,2.8,118
Best Men (1997),Drama,2.82,40
Bronco Billy (1980),Drama,2.82,176
"Story of Us, The (1999)",Drama,2.82,280
On Our Merry Way (1948),Drama,2.83,6
Buddy (1997),Drama,2.83,36
Mighty Joe Young (1998),Drama,2.83,180
Plenty (1985),Drama,2.84,31
Kiss of Death (1995),Drama,2.84,102
To Gillian on Her 37th Birthday (1996),Drama,2.84,108
Something to Talk About (1995),Drama,2.84,164
"I Love You, Don't Touch Me! (1998)",Drama,2.85,13
"Hot Spot, The (1990)",Drama,2.85,46
Why Do Fools Fall In Love? (1998),Drama,2.85,52
Glen or Glenda (1953),Drama,2.85,53
Black and White (1999),Drama,2.85,92
Carried Away (1996),Drama,2.86,7
Hurricane Streets (1998),Drama,2.86,7
Prancer (1989),Drama,2.86,43
"Devil's Own, The (1997)",Drama,2.86,288
"Bodyguard, The (1992)",Drama,2.86,626
"Funeral, The (1996)",Drama,2.87,31
"End of Violence, The (1997)",Drama,2.87,54
She's So Lovely (1997),Drama,2.87,84
"Evening Star, The (1996)",Drama,2.87,90
Dead Presidents (1995),Drama,2.87,221
Renaissance Man (1994),Drama,2.87,248
Jamaica Inn (1939),Drama,2.88,8
Telling Lies in America (1997),Drama,2.88,17
Plunkett & MaCleane (1999),Drama,2.88,42
200 Cigarettes (1999),Drama,2.88,181
Rocky III (1982),Drama,2.88,401
Brokedown Palace (1999),Drama,2.89,171
Star Maps (1997),Drama,2.9,30
Bliss (1997),Drama,2.9,40
Mary Shelley's Frankenstein (1994),Drama,2.9,244
Normal Life (1996),Drama,2.91,35
Crazy in Alabama (1999),Drama,2.91,45
Last Man Standing (1996),Drama,2.91,256
Bicentennial Man (1999),Drama,2.91,383
"Sheltering Sky, The (1990)",Drama,2.92,61
School Daze (1988),Drama,2.92,74
Alice and Martin (Alice et Martin) (1998),Drama,2.93,14
Now and Then (1995),Drama,2.93,61
Gung Ho (1986),Drama,2.93,244
Wolf (1994),Drama,2.93,272
Extreme Measures (1996),Drama,2.94,121
"Deep End of the Ocean, The (1999)",Drama,2.94,169
Needful Things (1993),Drama,2.94,242
Mina Tannenbaum (1994),Drama,2.95,19
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)",Drama,2.95,20
"Champ, The (1979)",Drama,2.95,59
Heartburn (1986),Drama,2.95,74
"Gingerbread Man, The (1998)",Drama,2.95,95
Anywhere But Here (1999),Drama,2.95,161
First Knight (1995),Drama,2.95,362
"Theory of Flight, The (1998)",Drama,2.96,27
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",Drama,2.96,28
Twilight (1998),Drama,2.96,53
"House of the Spirits, The (1993)",Drama,2.96,69
Two Girls and a Guy (1997),Drama,2.96,101
"Muse, The (1999)",Drama,2.96,157
"Good Mother, The (1988)",Drama,2.97,34
"Preacher's Wife, The (1996)",Drama,2.97,112
Twin Peaks: Fire Walk with Me (1992),Drama,2.97,163
Before and After (1996),Drama,2.98,53
Bed of Roses (1996),Drama,2.98,120
Practical Magic (1998),Drama,2.98,236
Waking the Dead (1999),Drama,2.99,141
Hope Floats (1998),Drama,2.99,387
Aiqing wansui (1994),Drama,3.0,1
An Unforgettable Summer (1994),Drama,3.0,1
Beauty (1998),Drama,3.0,1
Billy's Holiday (1995),Drama,3.0,1
Blood and Sand (Sangre y Arena) (1989),Drama,3.0,1
"Boy Called Hate, A (1995)",Drama,3.0,1
Broken Vessels (1998),Drama,3.0,1
For Ever Mozart (1996),Drama,3.0,1
Full Speed (1996),Drama,3.0,1
"Joyriders, The (1999)",Drama,3.0,1
"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",Drama,3.0,1
Mascara (1999),Drama,3.0,1
Resurrection Man (1998),Drama,3.0,1
"Ring, The (1927)",Drama,3.0,1
Telling You (1998),Drama,3.0,1
"Wooden Man's Bride, The (Wu Kui) (1994)",Drama,3.0,1
Coming Apart (1969),Drama,3.0,2
"Convent, The (Convento, O) (1995)",Drama,3.0,2
Foreign Student (1994),Drama,3.0,2
"I, Worst of All (Yo, la peor de todas) (1990)",Drama,3.0,2
It Happened Here (1961),Drama,3.0,2
Johnny 100 Pesos (1993),Drama,3.0,2
Sweet Nothing (1995),Drama,3.0,2
"To Have, or Not (1995)",Drama,3.0,2
Yankee Zulu (1994),Drama,3.0,2
Country Life (1994),Drama,3.0,3
Price of Glory (2000),Drama,3.0,3
Trans (1998),Drama,3.0,3
Babyfever (1994),Drama,3.0,4
Cotton Mary (1999),Drama,3.0,4
"Red Dwarf, The (Le Nain rouge) (1998)",Drama,3.0,4
Went to Coney Island on a Mission From God... Be Back by Five (1998),Drama,3.0,4
Cavalcade (1933),Drama,3.0,5
Montana (1998),Drama,3.0,5
"Secret Agent, The (1996)",Drama,3.0,5
Last Dance (1996),Drama,3.0,9
"Glass Shield, The (1994)",Drama,3.0,11
No Looking Back (1998),Drama,3.0,12
Shattered Image (1998),Drama,3.0,12
New Jersey Drive (1995),Drama,3.0,18
Music From Another Room (1998),Drama,3.0,26
Chinese Box (1997),Drama,3.0,37
Steal This Movie! (2000),Drama,3.0,40
"Myth of Fingerprints, The (1997)",Drama,3.0,50
Eye for an Eye (1996),Drama,3.0,67
Mercury Rising (1998),Drama,3.0,264
Tommy (1975),Drama,3.01,211
Above the Rim (1994),Drama,3.02,49
Hero (1992),Drama,3.02,186
"Towering Inferno, The (1974)",Drama,3.02,266
"Messenger: The Story of Joan of Arc, The (1999)",Drama,3.02,341
"Newton Boys, The (1998)",Drama,3.03,119
"Corruptor, The (1999)",Drama,3.03,156
Committed (2000),Drama,3.04,26
"Hi-Lo Country, The (1998)",Drama,3.04,26
All the Vermeers in New York (1990),Drama,3.04,27
Hideous Kinky (1998),Drama,3.04,48
Love Affair (1994),Drama,3.04,79
"Best Man, The (1999)",Drama,3.04,111
Empire Records (1995),Drama,3.04,271
"Man in the Iron Mask, The (1998)",Drama,3.04,391
"Two Jakes, The (1990)",Drama,3.05,62
Indian Summer (a.k.a. Alive & Kicking) (1996),Drama,3.05,74
G.I. Jane (1997),Drama,3.05,557
Frankie Starlight (1995),Drama,3.06,16
"Stars Fell on Henrietta, The (1995)",Drama,3.06,17
Stanley & Iris (1990),Drama,3.06,68
City Hall (1996),Drama,3.06,128
Varsity Blues (1999),Drama,3.06,266
Up at the Villa (2000),Drama,3.07,29
"Lovers on the Bridge, The (Les Amants du Pont-Neuf) (1991)",Drama,3.07,41
Georgia (1995),Drama,3.07,45
Selena (1997),Drama,3.07,162
Summer of Sam (1999),Drama,3.07,395
Footloose (1984),Drama,3.07,435
Bringing Out the Dead (1999),Drama,3.07,557
Glory Daze (1996),Drama,3.08,13
Jefferson in Paris (1995),Drama,3.08,38
Dance with Me (1998),Drama,3.08,79
Hurlyburly (1998),Drama,3.08,99
Sirens (1994),Drama,3.08,207
Nine 1/2 Weeks (1986),Drama,3.08,237
Margaret's Museum (1995),Drama,3.09,11
"Chamber, The (1996)",Drama,3.09,78
Peter's Friends (1992),Drama,3.09,118
"Craft, The (1996)",Drama,3.09,416
Silent Fall (1994),Drama,3.1,20
"Cement Garden, The (1993)",Drama,3.1,21
Last Summer in the Hamptons (1995),Drama,3.1,21
Tom & Viv (1994),Drama,3.1,21
Dream for an Insomniac (1996),Drama,3.1,30
King Creole (1958),Drama,3.1,51
Prefontaine (1997),Drama,3.1,71
Flashdance (1983),Drama,3.1,362
Infinity (1996),Drama,3.11,9
Judy Berlin (1999),Drama,3.11,28
Panther (1995),Drama,3.11,28
Afterglow (1997),Drama,3.11,82
Dangerous Minds (1995),Drama,3.11,141
Mighty Joe Young (1949),Drama,3.11,144
"Program, The (1993)",Drama,3.11,152
How to Make an American Quilt (1995),Drama,3.11,166
Ravenous (1999),Drama,3.11,171
Apt Pupil (1998),Drama,3.11,187
St. Elmo's Fire (1985),Drama,3.11,352
What Dreams May Come (1998),Drama,3.11,355
Killer: A Journal of Murder (1995),Drama,3.12,8
Light It Up (1999),Drama,3.12,16
Goya in Bordeaux (Goya en Bodeos) (1999),Drama,3.12,24
Desert Blue (1999),Drama,3.12,25
White Sands (1992),Drama,3.13,83
Foxfire (1996),Drama,3.13,103
Beloved (1998),Drama,3.13,104
Boys on the Side (1995),Drama,3.13,195
"Walk in the Clouds, A (1995)",Drama,3.13,219
Any Given Sunday (1999),Drama,3.13,483
"Quiet Room, The (1996)",Drama,3.14,7
Gabbeh (1996),Drama,3.14,14
Time Regained (Le Temps Retrouvé) (1999),Drama,3.14,22
Roommates (1995),Drama,3.14,35
Moonlight and Valentino (1995),Drama,3.14,49
Losing Isaiah (1995),Drama,3.14,63
Clara's Heart (1988),Drama,3.14,66
Night Falls on Manhattan (1997),Drama,3.14,76
Inventing the Abbotts (1997),Drama,3.14,131
Stepmom (1998),Drama,3.14,146
Instinct (1999),Drama,3.14,266
Patch Adams (1998),Drama,3.14,474
Lethal Weapon 4 (1998),Drama,3.14,669
"General's Daughter, The (1999)",Drama,3.14,691
Johns (1996),Drama,3.15,26
Men Don't Leave (1990),Drama,3.15,62
Flesh and Bone (1993),Drama,3.15,106
Airport (1970),Drama,3.15,179
For Love of the Game (1999),Drama,3.15,354
Reality Bites (1994),Drama,3.15,428
Anna Karenina (1997),Drama,3.16,25
"Month by the Lake, A (1995)",Drama,3.16,32
"Simple Twist of Fate, A (1994)",Drama,3.16,55
Joe Gould's Secret (2000),Drama,3.16,62
Flawless (1999),Drama,3.16,110
Things to Do in Denver when You're Dead (1995),Drama,3.16,166
"Prince of Tides, The (1991)",Drama,3.16,321
About Last Night... (1986),Drama,3.16,326
Robin Hood: Prince of Thieves (1991),Drama,3.16,344
"Last Time I Saw Paris, The (1954)",Drama,3.17,6
Bitter Moon (1992),Drama,3.17,46
American Buffalo (1996),Drama,3.17,60
Little Buddha (1993),Drama,3.17,71
Up Close and Personal (1996),Drama,3.17,139
Higher Learning (1995),Drama,3.17,141
Disclosure (1994),Drama,3.17,254
American Gigolo (1980),Drama,3.17,295
Deep Impact (1998),Drama,3.17,895
"Reluctant Debutante, The (1958)",Drama,3.18,11
Voyage of the Damned (1976),Drama,3.18,11
"Cure, The (1995)",Drama,3.18,22
Cobb (1994),Drama,3.18,67
"Minus Man, The (1999)",Drama,3.18,83
Miracle on 34th Street (1994),Drama,3.18,170
"Paper, The (1994)",Drama,3.18,212
Rising Sun (1993),Drama,3.18,382
Rocky II (1979),Drama,3.18,445
Powder (1995),Drama,3.18,624
"Other Side of Sunday, The (Søndagsengler) (1996)",Drama,3.19,16
"Saint of Fort Washington, The (1993)",Drama,3.19,21
Solas (1999),Drama,3.19,21
Poison (1991),Drama,3.19,32
"Crucible, The (1996)",Drama,3.19,108
"Thirteenth Floor, The (1999)",Drama,3.19,391
"Enfer, L' (1994)",Drama,3.2,5
Go Now (1995),Drama,3.2,10
Passion in the Desert (1998),Drama,3.2,10
Stealing Home (1988),Drama,3.2,66
Extremities (1986),Drama,3.2,69
"Governess, The (1998)",Drama,3.2,70
Marvin's Room (1996),Drama,3.2,104
Mommie Dearest (1981),Drama,3.2,163
Bad Lieutenant (1992),Drama,3.2,171
Jungle Fever (1991),Drama,3.2,215
Great Expectations (1998),Drama,3.2,263
"Flamingo Kid, The (1984)",Drama,3.2,294
Eyes Wide Shut (1999),Drama,3.2,945
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.21,14
I Like It Like That (1994),Drama,3.21,19
"Grass Harp, The (1995)",Drama,3.21,24
Sarafina! (1992),Drama,3.21,33
Drunks (1997),Drama,3.21,34
Velvet Goldmine (1998),Drama,3.21,126
"Slingshot, The (Kådisbellan ) (1993)",Drama,3.22,23
What Happened Was... (1994),Drama,3.22,37
Madame Sousatzka (1988),Drama,3.22,59
"River, The (1984)",Drama,3.22,64
"Morning After, The (1986)",Drama,3.22,87
Nell (1994),Drama,3.22,215
Alien Nation (1988),Drama,3.22,504
Cruel Intentions (1999),Drama,3.22,559
Nowhere (1997),Drama,3.23,31
Holy Smoke (1999),Drama,3.23,56
"Horse Whisperer, The (1998)",Drama,3.23,210
"Bridges of Madison County, The (1995)",Drama,3.23,387
Germinal (1993),Drama,3.24,17
Come See the Paradise (1990),Drama,3.24,25
Shadrach (1998),Drama,3.24,25
Female Perversions (1996),Drama,3.24,29
"Sandpiper, The (1965)",Drama,3.24,33
"Scarlet Letter, The (1926)",Drama,3.24,37
Princess Caraboo (1994),Drama,3.24,62
Can't Hardly Wait (1998),Drama,3.24,306
"Big Trees, The (1952)",Drama,3.25,4
"Collectionneuse, La (1967)",Drama,3.25,4
"Death in the Garden (Mort en ce jardin, La) (1956)",Drama,3.25,4
"Ogre, The (Der Unhold) (1996)",Drama,3.25,4
Two Bits (1995),Drama,3.25,4
Belly (1998),Drama,3.25,8
"Dog of Flanders, A (1999)",Drama,3.25,8
Train of Life (Train De Vie) (1998),Drama,3.25,8
Nil By Mouth (1997),Drama,3.25,20
Angel Baby (1995),Drama,3.25,52
"Wood, The (1999)",Drama,3.25,87
"Boy Who Could Fly, The (1986)",Drama,3.25,176
Midnight in the Garden of Good and Evil (1997),Drama,3.25,628
Lethal Weapon 3 (1992),Drama,3.25,802
"Crossing Guard, The (1995)",Drama,3.26,50
When a Man Loves a Woman (1994),Drama,3.26,211
Evita (1996),Drama,3.26,282
Sommersby (1993),Drama,3.26,291
Bitter Sugar (Azucar Amargo) (1996),Drama,3.27,11
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Drama,3.27,11
Unhook the Stars (1996),Drama,3.27,11
Smiling Fish and Goat on Fire (1999),Drama,3.27,26
Dancing at Lughnasa (1998),Drama,3.27,44
Heavy (1995),Drama,3.27,74
"War, The (1994)",Drama,3.27,84
Nighthawks (1981),Drama,3.27,190
Where the Heart Is (2000),Drama,3.27,277
Final Destination (2000),Drama,3.27,459
Outbreak (1995),Drama,3.27,733
Jason's Lyric (1994),Drama,3.28,40
"Greatest Show on Earth, The (1952)",Drama,3.28,61
Soul Food (1997),Drama,3.28,85
Go Fish (1994),Drama,3.28,86
Geronimo: An American Legend (1993),Drama,3.28,87
Clockers (1995),Drama,3.28,116
Chuck & Buck (2000),Drama,3.28,121
Stardust Memories (1980),Drama,3.28,121
"Cutting Edge, The (1992)",Drama,3.28,200
With Honors (1994),Drama,3.28,228
Smilla's Sense of Snow (1997),Drama,3.28,265
"Parent Trap, The (1998)",Drama,3.28,268
"Actor's Revenge, An (Yukinojo Henge) (1963)",Drama,3.29,7
"Designated Mourner, The (1997)",Drama,3.29,7
"Grandfather, The (El Abuelo) (1998)",Drama,3.29,7
See the Sea (Regarde la mer) (1997),Drama,3.29,7
Head On (1998),Drama,3.29,14
Safe Passage (1994),Drama,3.29,17
Girls Town (1996),Drama,3.29,24
Metroland (1997),Drama,3.29,28
Surviving Picasso (1996),Drama,3.29,35
Widows' Peak (1994),Drama,3.29,38
Permanent Midnight (1998),Drama,3.29,76
Mo' Better Blues (1990),Drama,3.29,79
Interiors (1978),Drama,3.29,83
Dead Ringers (1988),Drama,3.29,189
Mass Appeal (1984),Drama,3.3,23
It's My Party (1995),Drama,3.3,30
Picture Bride (1995),Drama,3.3,43
Ride with the Devil (1999),Drama,3.3,73
Center Stage (2000),Drama,3.3,182
Swing Kids (1993),Drama,3.3,185
"Way We Were, The (1973)",Drama,3.3,220
Fluke (1995),Drama,3.31,29
Traveller (1997),Drama,3.31,36
Mrs. Parker and the Vicious Circle (1994),Drama,3.31,58
Carrington (1995),Drama,3.31,70
Get on the Bus (1996),Drama,3.31,81
FairyTale: A True Story (1997),Drama,3.31,87
Heaven & Earth (1993),Drama,3.31,105
"Last Days of Disco, The (1998)",Drama,3.31,135
One Fine Day (1996),Drama,3.31,226
"Winter Guest, The (1997)",Drama,3.32,22
Agnes Browne (1999),Drama,3.32,34
Where the Money Is (2000),Drama,3.32,34
Shiloh (1997),Drama,3.32,37
8 Seconds (1994),Drama,3.32,72
"Rapture, The (1991)",Drama,3.32,148
"Man Without a Face, The (1993)",Drama,3.32,212
All Things Fair (1996),Drama,3.33,3
Defying Gravity (1997),Drama,3.33,3
"Very Natural Thing, A (1974)",Drama,3.33,3
Broken English (1996),Drama,3.33,6
All the Rage (a.k.a. It's the Rage) (1999),Drama,3.33,12
Julien Donkey-Boy (1999),Drama,3.33,12
Paradise Road (1997),Drama,3.33,42
"King of Marvin Gardens, The (1972)",Drama,3.33,48
"Van, The (1996)",Drama,3.33,63
"Broken Hearts Club, The (2000)",Drama,3.33,70
American Flyers (1985),Drama,3.33,97
"Bamba, La (1987)",Drama,3.33,266
Tin Men (1987),Drama,3.33,295
Washington Square (1997),Drama,3.34,50
Tex (1982),Drama,3.34,53
"Razor's Edge, The (1984)",Drama,3.34,77
"Other Sister, The (1999)",Drama,3.34,163
Death Wish (1974),Drama,3.34,220
Lolita (1997),Drama,3.34,221
"Corrina, Corrina (1994)",Drama,3.34,257
Kiss the Girls (1997),Drama,3.34,395
"Godfather: Part III, The (1990)",Drama,3.34,774
Turtle Diary (1985),Drama,3.35,23
Nadja (1994),Drama,3.35,26
"Idiots, The (Idioterne) (1998)",Drama,3.35,37
"Star Is Born, A (1937)",Drama,3.35,91
"Cook the Thief His Wife & Her Lover, The (1989)",Drama,3.35,198
My Own Private Idaho (1991),Drama,3.35,236
Fear and Loathing in Las Vegas (1998),Drama,3.35,298
Copycat (1995),Drama,3.35,378
Rules of Engagement (2000),Drama,3.35,420
Hairspray (1988),Drama,3.35,445
"Price Above Rubies, A (1998)",Drama,3.36,25
Caught (1996),Drama,3.36,28
Another Day in Paradise (1998),Drama,3.36,47
Guinevere (1999),Drama,3.36,61
"Cradle Will Rock, The (1999)",Drama,3.36,259
"Mosquito Coast, The (1986)",Drama,3.36,466
Cop Land (1997),Drama,3.36,492
"Civil Action, A (1998)",Drama,3.36,612
Desert Bloom (1986),Drama,3.37,43
Groove (2000),Drama,3.37,51
Little Odessa (1994),Drama,3.37,54
'Night Mother (1986),Drama,3.37,70
North Dallas Forty (1979),Drama,3.37,167
"Big Kahuna, The (2000)",Drama,3.37,304
"Fabulous Baker Boys, The (1989)",Drama,3.37,358
Far and Away (1992),Drama,3.37,403
Pretty in Pink (1986),Drama,3.37,693
"Life of Émile Zola, The (1937)",Drama,3.38,21
Native Son (1986),Drama,3.38,24
Santa Fe Trail (1940),Drama,3.38,29
M. Butterfly (1993),Drama,3.38,39
