title,genres,user_count,rating_avg,user_age_avg
"Amityville Horror, The (1979)",Horror,355,2.94,30.92
Amityville II: The Possession (1982),Horror,56,2.11,29.32
Amityville: A New Generation (1993),Horror,23,1.65,29.26
Amityville: Dollhouse (1996),Horror,22,1.68,31.64
Among Giants (1998),"Drama, Romance",9,3.78,30.44
Amos & Andrew (1993),Comedy,81,2.77,30.19
An Unforgettable Summer (1994),Drama,1,3.0,25.0
Anaconda (1997),"Action, Adventure, Thriller",399,2.2,28.26
Analyze This (1999),Comedy,616,3.39,29.17
Anastasia (1997),"Animation, Children's, Musical",304,3.5,25.67
Anatomy (Anatomie) (2000),Horror,10,2.7,15.0
Anatomy of a Murder (1959),"Drama, Mystery",199,4.23,40.74
Anchors Aweigh (1945),"Comedy, Musical",103,3.63,37.69
And God Created Woman (1988),"Comedy, Drama, Romance",40,2.38,32.98
And God Created Woman (Et Dieu&#8230;Créa la Femme) (1956),Drama,28,3.39,46.64
And Now for Something Completely Different (1971),Comedy,451,4.14,29.7
And the Band Played On (1993),Drama,171,3.93,30.86
And the Ship Sails On (E la nave va) (1984),"Comedy, War",20,3.25,34.1
Andre (1994),"Adventure, Children's",55,2.96,24.8
Angel Baby (1995),Drama,52,3.25,31.1
Angel Heart (1987),"Film-Noir, Mystery, Thriller",448,3.4,31.58
Angel and the Badman (1947),Western,51,3.39,42.61
Angel on My Shoulder (1946),"Crime, Drama",20,3.45,42.7
Angela (1995),Drama,2,4.0,45.0
Angela's Ashes (1999),Drama,225,3.41,32.36
Angels and Insects (1995),"Drama, Romance",194,3.4,33.85
Angels in the Outfield (1994),"Children's, Comedy",247,2.77,26.46
Angus (1995),Comedy,145,3.32,22.54
Animal House (1978),Comedy,1207,4.05,30.77
Anna (1996),Drama,1,4.0,45.0
Anna Karenina (1997),"Drama, Romance",25,3.16,33.04
Anna and the King (1999),"Drama, Romance",333,3.41,31.38
Anne Frank Remembered (1995),Documentary,41,4.1,37.2
Annie Hall (1977),"Comedy, Romance",1334,4.14,34.41
Another Day in Paradise (1998),Drama,47,3.36,31.55
Another Man's Poison (1952),"Crime, Drama",1,4.0,50.0
Another Stakeout (1993),"Comedy, Thriller",179,2.48,29.06
Antonia's Line (Antonia) (1995),Drama,89,3.88,37.46
Antz (1998),"Animation, Children's",645,3.48,26.82
Any Given Sunday (1999),Drama,483,3.13,27.82
Anywhere But Here (1999),Drama,161,2.95,26.45
Aparajito (1956),Drama,23,4.17,34.0
"Apartment, The (1960)","Comedy, Drama",417,4.13,36.04
"Ape, The (1940)","Horror, Sci-Fi",12,2.17,42.5
Apocalypse Now (1979),"Drama, War",1176,4.24,30.54
Apollo 13 (1995),Drama,1251,4.07,29.89
"Apostle, The (1997)",Drama,471,3.73,32.77
"Apple Dumpling Gang Rides Again, The (1979)","Children's, Comedy, Western",109,2.66,29.99
"Apple Dumpling Gang, The (1975)","Children's, Comedy, Western",232,2.98,29.94
"Apple, The (Sib) (1998)",Drama,9,4.67,29.56
April Fool's Day (1986),"Comedy, Horror",116,3.0,24.97
Apt Pupil (1998),"Drama, Thriller",187,3.11,26.96
Arachnophobia (1990),"Action, Comedy, Sci-Fi, Thriller",1367,3.0,28.39
Arguing the World (1996),Documentary,11,3.91,33.55
"Aristocats, The (1970)","Animation, Children's",278,3.35,26.15
Arlington Road (1999),Thriller,634,3.5,28.32
Armageddon (1998),"Action, Adventure, Sci-Fi, Thriller",1110,3.19,27.49
Armed and Dangerous (1986),"Comedy, Crime",130,2.48,27.2
Army of Darkness (1993),"Action, Adventure, Comedy, Horror, Sci-Fi",945,3.8,25.76
Around the World in 80 Days (1956),"Adventure, Comedy",269,3.6,40.73
"Arrival, The (1996)","Action, Sci-Fi, Thriller",417,3.15,28.91
Arsenic and Old Lace (1944),"Comedy, Mystery, Thriller",672,4.17,35.43
"Art of War, The (2000)",Action,144,2.78,26.82
Artemisia (1997),Drama,32,3.69,36.16
Arthur (1981),"Comedy, Romance",534,3.43,32.77
As Good As It Gets (1997),"Comedy, Drama",1424,3.95,29.05
Ashes of Time (1994),Drama,4,3.75,25.0
"Asphalt Jungle, The (1950)","Crime, Film-Noir",151,3.93,38.83
Assassination (1987),Action,23,2.91,35.96
Assassins (1995),Thriller,126,2.86,26.15
Assault on Precinct 13 (1976),"Action, Thriller",98,3.57,33.58
"Assignment, The (1997)",Thriller,49,3.59,32.02
"Associate, The (1996)",Comedy,50,3.0,28.88
"Astronaut's Wife, The (1999)","Sci-Fi, Thriller",328,2.44,29.68
Asylum (1972),Horror,17,2.82,37.65
At First Sight (1999),Drama,74,2.8,26.26
Atlantic City (1980),"Crime, Drama, Romance",304,3.83,39.48
Attack of the Killer Tomatoes! (1980),"Comedy, Horror",206,2.61,30.03
Audrey Rose (1977),Horror,50,3.18,33.54
August (1996),Drama,2,1.5,34.0
Auntie Mame (1958),"Comedy, Drama",274,3.84,35.97
Austin Powers: International Man of Mystery (1997),Comedy,1205,3.71,25.79
Austin Powers: The Spy Who Shagged Me (1999),Comedy,1434,3.39,26.32
Autopsy (Macchie Solari) (1975),Horror,2,1.5,53.0
Autumn Sonata (Höstsonaten ) (1978),Drama,30,3.73,36.6
"Autumn Tale, An (Conte d'automne) (1998)",Romance,47,3.83,36.51
Autumn in New York (2000),"Drama, Romance",117,2.13,28.04
Avalanche (1978),Action,17,2.53,39.94
"Avengers, The (1998)","Action, Adventure",288,2.0,29.85
Awakenings (1990),Drama,680,3.78,30.11
"Awfully Big Adventure, An (1995)",Drama,23,2.78,27.22
Ayn Rand: A Sense of Life (1997),Documentary,8,4.12,32.12
B*A*P*S (1997),Comedy,26,1.81,27.04
B. Monkey (1998),"Romance, Thriller",19,3.47,31.89
BASEketball (1998),Comedy,183,2.99,23.2
Babe (1995),"Children's, Comedy, Drama",1751,3.89,29.78
Babe: Pig in the City (1998),"Children's, Comedy",523,3.29,29.33
Babes in Toyland (1961),"Children's, Fantasy, Musical",162,2.99,31.86
Baby Geniuses (1999),Comedy,164,1.7,25.05
"Baby, The (1973)",Horror,1,5.0,18.0
"Baby-Sitters Club, The (1995)",Children's,42,2.43,20.12
Baby... Secret of the Lost Legend (1985),"Adventure, Sci-Fi",113,2.11,30.51
Babyfever (1994),"Comedy, Drama",4,3.0,42.75
"Babysitter, The (1995)","Drama, Thriller",64,2.62,29.17
Bachelor Party (1984),Comedy,360,3.14,27.76
"Bachelor, The (1999)","Comedy, Romance",252,2.48,25.91
Back Stage (2000),Documentary,1,3.0,45.0
Back to School (1986),Comedy,354,3.15,27.35
Back to the Future (1985),"Comedy, Sci-Fi",2583,3.99,29.9
Back to the Future Part II (1989),"Comedy, Sci-Fi",1158,3.34,28.15
Back to the Future Part III (1990),"Comedy, Sci-Fi, Western",1148,3.24,28.26
Backbeat (1993),"Drama, Musical",120,3.52,28.98
Backdraft (1991),"Action, Drama",869,3.44,28.92
Bad Boys (1995),Action,362,3.3,24.08
Bad Company (1995),Action,40,2.9,29.58
Bad Girls (1994),Western,89,2.43,32.0
Bad Lieutenant (1992),"Crime, Drama",171,3.2,29.43
Bad Moon (1996),Horror,18,2.06,26.0
"Bad Seed, The (1956)","Drama, Thriller",127,3.75,37.81
Bad Taste (1987),"Comedy, Horror",54,3.41,26.2
Badlands (1973),"Crime, Drama",241,4.08,33.66
Bait (2000),"Action, Comedy",45,2.73,27.33
"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama,8,3.62,35.38
"Ballad of Narayama, The (Narayama Bushiko) (1982)",Drama,19,3.95,33.58
"Ballad of Ramblin' Jack, The (2000)",Documentary,18,3.5,32.61
Balto (1995),"Animation, Children's",99,3.26,26.45
"Bamba, La (1987)",Drama,266,3.33,30.03
Bambi (1942),"Animation, Children's",589,3.74,28.56
Bamboozled (2000),Comedy,96,3.05,26.21
Bananas (1971),"Comedy, War",372,3.84,34.7
"Band Wagon, The (1953)","Comedy, Musical",71,3.63,39.28
Band of the Hand (1986),Action,39,2.31,29.18
Bandit Queen (1994),Drama,43,3.79,33.98
Bandits (1997),Drama,9,3.78,24.56
"Bank Dick, The (1940)",Comedy,147,3.99,40.72
Baraka (1992),Documentary,45,3.89,26.98
Barb Wire (1996),"Action, Sci-Fi",300,2.03,28.77
Barbarella (1968),"Adventure, Sci-Fi",386,3.02,33.65
Barcelona (1994),"Comedy, Romance",208,3.49,30.07
"Barefoot Executive, The (1971)","Children's, Comedy",40,2.92,34.17
Barefoot in the Park (1967),Comedy,193,3.59,36.04
Barenaked in America (1999),Documentary,32,2.91,24.47
Barney's Great Adventure (1998),"Adventure, Children's",40,1.55,28.6
Barry Lyndon (1975),Drama,169,3.55,35.4
Basic Instinct (1992),"Mystery, Thriller",751,3.54,30.0
"Basketball Diaries, The (1995)",Drama,181,3.54,26.78
Basquiat (1996),Drama,127,3.5,29.33
Bastard Out of Carolina (1996),Drama,63,3.65,30.59
"Bat Whispers, The (1930)","Crime, Drama, Mystery",1,2.0,35.0
"Bat, The (1959)",Horror,8,2.62,41.88
Batman & Robin (1997),"Action, Adventure, Crime",606,2.26,26.32
Batman (1989),"Action, Adventure, Crime, Drama",1431,3.6,28.44
Batman Forever (1995),"Action, Adventure, Comedy, Crime",777,2.64,26.07
Batman Returns (1992),"Action, Adventure, Comedy, Crime",1031,2.98,26.64
Batman: Mask of the Phantasm (1993),"Animation, Children's",232,3.56,24.02
Bats (1999),"Horror, Thriller",67,1.84,26.54
Battle for the Planet of the Apes (1973),"Action, Sci-Fi",312,2.83,33.02
"Battle of the Sexes, The (1959)",Comedy,4,3.75,38.25
Battlefield Earth (2000),"Action, Sci-Fi",342,1.61,27.51
"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)","Drama, War",234,3.97,33.3
Battling Butler (1926),Comedy,10,3.4,37.6
Bay of Blood (Reazione a catena) (1971),Horror,3,1.67,25.0
Beach Party (1963),Comedy,47,2.64,40.57
"Beach, The (2000)","Adventure, Drama",423,2.7,25.78
Bean (1997),Comedy,200,2.68,26.62
"Beans of Egypt, Maine, The (1994)",Drama,8,3.62,40.12
"Bear, The (1988)",Adventure,175,3.37,30.42
Beat the Devil (1954),"Comedy, Drama",37,3.41,37.84
"Beautician and the Beast, The (1997)","Comedy, Romance",148,2.43,29.45
Beautiful (2000),"Comedy, Drama",40,2.3,29.18
Beautiful Girls (1996),Drama,182,3.73,25.46
Beautiful People (1999),Comedy,53,3.34,32.04
Beautiful Thing (1996),"Drama, Romance",90,4.07,29.03
Beauty (1998),Drama,1,3.0,45.0
Beauty and the Beast (1991),"Animation, Children's, Musical",1060,3.89,27.28
Beavis and Butt-head Do America (1996),"Animation, Comedy",475,3.04,24.88
Bed of Roses (1996),"Drama, Romance",120,2.98,26.23
Bedknobs and Broomsticks (1971),"Adventure, Children's, Musical",319,3.48,27.77
"Bedroom Window, The (1987)",Thriller,57,3.49,34.12
Bedrooms & Hallways (1998),"Comedy, Romance",21,3.38,30.81
Beefcake (1999),Drama,4,2.75,32.5
Beetlejuice (1988),"Comedy, Fantasy",1495,3.57,28.57
Before Sunrise (1995),"Drama, Romance",160,3.81,27.69
Before and After (1996),"Drama, Mystery",53,2.98,30.26
Before the Rain (Pred dozhdot) (1994),Drama,28,4.25,31.79
Being Human (1993),Drama,29,2.52,33.07
Being John Malkovich (1999),Comedy,2241,4.13,28.71
Being There (1979),Comedy,591,4.01,34.81
"Believers, The (1987)","Horror, Thriller",102,2.91,29.47
Belizaire the Cajun (1986),Drama,13,3.46,42.85
"Bell, Book and Candle (1958)","Comedy, Romance",227,3.77,40.95
Belle de jour (1967),Drama,168,3.73,35.42
"Bells, The (1926)","Crime, Drama",2,4.5,37.5
Belly (1998),"Crime, Drama",8,3.25,18.5
Beloved (1998),Drama,104,3.13,30.59
Beloved/Friend (Amigo/Amado) (1999),Drama,1,4.0,35.0
Ben-Hur (1959),"Action, Adventure, Drama",704,4.11,33.69
Beneath the Planet of the Apes (1970),"Action, Sci-Fi",365,2.95,33.15
Benji (1974),"Adventure, Children's",156,2.97,29.73
Benji the Hunted (1987),"Adventure, Children's",31,2.32,26.68
Benny & Joon (1993),"Comedy, Romance",481,3.44,28.01
Bent (1997),"Drama, War",28,3.57,31.25
Besieged (L' Assedio) (1998),Drama,41,3.51,30.68
Best Laid Plans (1999),"Crime, Drama",42,3.45,28.1
"Best Man, The (1999)",Drama,111,3.04,29.42
"Best Man, The (Il Testimone dello sposo) (1997)","Comedy, Drama",9,3.78,31.67
Best Men (1997),"Action, Comedy, Crime, Drama",40,2.82,27.8
"Best Years of Our Lives, The (1946)","Drama, War",236,4.12,37.47
Best in Show (2000),Comedy,657,4.07,29.86
Best of the Best 3: No Turning Back (1995),Action,17,1.65,24.88
Betrayed (1988),"Drama, Thriller",86,3.43,34.72
Better Living (1998),Comedy,2,2.5,21.5
Better Living Through Circuitry (1999),Documentary,16,3.81,26.88
Better Off Dead... (1985),Comedy,472,3.92,24.6
Better Than Chocolate (1999),"Comedy, Romance",68,3.51,29.41
"Beverly Hillbillies, The (1993)",Comedy,156,2.19,27.92
Beverly Hills Cop III (1994),"Action, Comedy",352,2.51,28.05
Beverly Hills Ninja (1997),"Action, Comedy",232,2.55,24.27
"Bewegte Mann, Der (1994)",Comedy,9,3.89,29.22
Beyond Rangoon (1995),"Drama, War",87,3.41,32.71
Beyond Silence (1996),Drama,21,3.76,36.0
Beyond the Mat (2000),Documentary,134,3.53,25.54
Beyond the Poseidon Adventure (1979),Adventure,34,1.94,37.71
Bhaji on the Beach (1993),"Comedy, Drama",35,3.86,38.17
Bicentennial Man (1999),"Comedy, Drama, Sci-Fi",383,2.91,28.98
"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama,252,4.36,31.98
Big (1988),"Comedy, Fantasy",1491,3.86,28.83
"Big Blue, The (Le Grand Bleu) (1988)","Adventure, Romance",87,3.66,28.59
Big Bully (1996),"Comedy, Drama",12,1.92,18.92
"Big Carnival, The (1951)",Drama,39,3.79,39.82
"Big Chill, The (1983)","Comedy, Drama",838,3.87,33.47
"Big Combo, The (1955)",Film-Noir,6,3.83,39.17
"Big Country, The (1958)","Romance, Western",63,3.65,46.63
Big Daddy (1999),Comedy,791,3.14,24.16
"Big Green, The (1995)","Children's, Comedy",41,2.56,15.54
"Big Hit, The (1998)","Action, Comedy",189,3.09,23.57
"Big Kahuna, The (2000)","Comedy, Drama",304,3.37,29.96
"Big Lebowski, The (1998)","Comedy, Crime, Mystery, Thriller",1097,3.74,28.18
Big Momma's House (2000),Comedy,180,2.44,24.36
Big Night (1996),Drama,450,4.1,32.66
"Big One, The (1997)","Comedy, Documentary",102,4.0,26.74
"Big Sleep, The (1946)","Film-Noir, Mystery",541,4.31,36.61
"Big Squeeze, The (1996)","Comedy, Drama",7,1.86,25.86
"Big Tease, The (1999)",Comedy,33,3.27,29.24
"Big Trees, The (1952)","Action, Drama",4,3.25,46.25
Big Trouble in Little China (1986),"Action, Comedy",584,3.41,28.65
Bikini Beach (1964),Comedy,39,2.59,38.77
Billy Madison (1995),Comedy,355,3.18,22.25
Billy's Holiday (1995),Drama,1,3.0,25.0
Billy's Hollywood Screen Kiss (1997),"Comedy, Romance",76,3.67,28.46
Bio-Dome (1996),Comedy,143,2.06,23.07
Bird on a Wire (1990),"Action, Adventure, Romance, Thriller",380,2.58,30.44
"Birdcage, The (1996)",Comedy,682,3.55,28.51
"Birds, The (1963)",Horror,733,3.88,31.68
Birdy (1984),"Drama, War",223,3.86,32.1
Bitter Moon (1992),Drama,46,3.17,28.76
Bitter Sugar (Azucar Amargo) (1996),Drama,11,3.27,30.91
Bittersweet Motel (2000),Documentary,1,5.0,18.0
Black Beauty (1994),"Adventure, Children's",94,3.36,31.96
"Black Cat, White Cat (Crna macka, beli macor) (1998)","Comedy, Romance",23,3.87,29.83
"Black Cauldron, The (1985)","Animation, Children's",200,3.16,25.74
Black Dog (1998),"Action, Thriller",51,2.31,26.67
"Black Hole, The (1979)",Sci-Fi,295,2.77,30.35
Black Mask (Hak hap) (1996),Action,66,3.08,23.73
"Black Sabbath (Tre Volti Della Paura, I) (1963)",Horror,21,3.29,37.38
Black Sheep (1996),Comedy,192,2.94,21.97
Black Sunday (La Maschera Del Demonio) (1960),Horror,4,2.25,34.5
Black Tar Heroin: The Dark End of the Street (1999),Documentary,6,3.5,23.17
Black and White (1999),Drama,92,2.85,26.13
Blackbeard's Ghost (1968),"Children's, Comedy",57,3.11,33.35
Blackmail (1929),Thriller,11,3.09,32.18
Blade (1998),"Action, Adventure, Horror",809,3.48,26.25
Blade Runner (1982),"Film-Noir, Sci-Fi",1800,4.27,30.43
"Blair Witch Project, The (1999)",Horror,1237,3.03,26.46
Blame It on Rio (1984),"Comedy, Romance",201,2.72,33.74
Blank Check (1994),"Children's, Comedy",96,2.22,18.51
Blast from the Past (1999),"Comedy, Romance",360,3.36,27.07
Blazing Saddles (1974),"Comedy, Western",1119,4.05,32.15
Bless the Child (2000),Thriller,60,2.67,23.78
Blind Date (1987),"Comedy, Romance",210,2.67,29.29
Blink (1994),Thriller,57,3.12,28.07
Bliss (1997),"Drama, Romance",40,2.9,32.55
"Blob, The (1958)","Horror, Sci-Fi",338,3.14,33.68
Blood & Wine (1997),Drama,35,3.4,30.51
Blood Beach (1981),"Action, Horror",21,1.71,33.24
Blood Feast (1963),Horror,20,2.6,36.75
Blood For Dracula (Andy Warhol's Dracula) (1974),Horror,36,2.67,36.92
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)","Crime, Drama",28,2.96,27.64
Blood Simple (1984),"Drama, Film-Noir",628,4.22,32.75
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",Horror,2,1.0,45.5
Blood and Sand (Sangre y Arena) (1989),"Drama, Romance",1,3.0,18.0
Blood on the Sun (1945),"Drama, War",8,3.5,48.0
"Blood, Guts, Bullets and Octane (1998)","Action, Comedy",7,2.43,35.14
Bloodsport (1988),Action,222,3.23,26.4
Bloodsport 2 (1995),Action,47,2.04,29.96
"Bloody Child, The (1996)","Drama, Thriller",1,1.0,56.0
Blow-Out (La Grande Bouffe) (1973),Drama,50,3.78,37.24
Blown Away (1994),"Action, Thriller",221,3.11,26.96
Blowup (1966),"Drama, Mystery",246,3.81,40.56
"Blue Angel, The (Blaue Engel, Der) (1930)",Drama,100,3.94,36.93
Blue Chips (1994),Drama,75,2.6,26.39
Blue Collar (1978),"Crime, Drama",56,3.57,36.38
